对于常量，特征值为常量值，对于函数，特征值为参数个数，对于数组，特征值为数组长度
序号		名称		行数		种类		类型		特征值		地址		寄存器		
51		printArray		118		函数		int		0		5141		无		
52		quickSort		133		函数		void		2		5141		无		
53		return1		158		函数		int		0		5141		无		
54		return999		162		函数		int		0		5141		无		
55		returnminus998		166		函数		int		0		5141		无		
56		main2		169		函数		void		0		5141		无		
57		returna		203		函数		char		0		5141		无		
58		returnplus		207		函数		char		0		5141		无		
59		returnStar		211		函数		char		0		5141		无		
60		returnChar		215		函数		char		1		5141		无		
61		main3		219		函数		void		0		5141		无		
62		mod		369		函数		int		2		5141		无		
63		gcd		382		函数		int		2		5141		无		
64		main5		396		函数		void		0		5141		无		
65		Combinatorial		407		函数		int		2		5141		无		
66		main6		415		函数		void		0		5141		无		
67		main7		422		函数		void		0		5141		无		
68		optest		433		函数		void		0		5141		无		
69		main		573		函数		void		0		5141		无		
